How often do I eat,eat
How often do you eat,eat
How often does he eat,eat
How often does she eat,eat
How often does it eat,eat
How often do we eat,eat
How often do you eat,eat
How often do they eat,eat
What am I doing,do
What are you doing,do
What is he doing,do
What is she doing,do
What is it doing,do
What are we doing,do
What are you doing,do
What are they doing,do
Where did I go,go
Where did you go,go
Where did he go,go
Where did she go,go
Where did it go,go
Where did we go,go
Where did you go,go
Where did they go,go
When will I help,help
When will you help,help
When will he help,help
When will she help,help
When will it help,help
When will we help,help
When will you help,help
When will they help,help
Where am I going to stay,stay
Where are you going to stay,stay
Where is he going to stay,stay
Where is she going to stay,stay
Where is it going to stay,stay
Where are we going to stay,stay
Where are you going to stay,stay
Where are they going to stay,stay
Where will I be staying,stay
Where will you be staying,stay
Where will he be staying,stay
Where will she be staying,stay
Where will it be staying,stay
Where will we be staying,stay
Where will you be staying,stay
Where will they be staying,stay
How long have I lived,live
How long have you lived,live
How long has he lived,live
How long has she lived,live
How long has it lived,live
How long have we lived,live
How long have you lived,live
How long have they lived,live
How long have I been studying,study
How long have you been studying,study
How long has he been studying,study
How long has she been studying,study
How long has it been studying,study
How long have we been studying,study
How long have you been studying,study
How long have they been studying,study
Where had I eaten,eat
Where had you eaten,eat
Where had he eaten,eat
Where had she eaten,eat
Where had it eaten,eat
Where had we eaten,eat
Where had you eaten,eat
Where had they eaten,eat
How long had I been working,work
How long had you been working,work
How long had he been working,work
How long had she been working,work
How long had it been working,work
How long had we been working,work
How long had you been working,work
How long had they been working,work
How many books will I have finished,finish
How many books will you have finished,finish
How many books will he have finished,finish
How many books will she have finished,finish
How many books will it have finished,finish
How many books will we have finished,finish
How many books will you have finished,finish
How many books will they have finished,finish
How long will I have been working,work
How long will you have been working,work
How long will he have been working,work
How long will she have been working,work
How long will it have been working,work
How long will we have been working,work
How long will you have been working,work
How long will they have been working,work
